Year,Season,Indicator,Value,stat_area,Value_var
1980,all,fvcom_bt,-0.15056082347476074,513,6.985720022716812
1981,all,fvcom_bt,-0.06493524671567409,511,5.64089034344581
1981,all,fvcom_bt,-0.20533320237329142,512,6.566340485097099
1981,all,fvcom_bt,-0.15115567537395413,513,6.219123038199965
1982,all,fvcom_bt,-0.15153031832949335,511,1.9057182315719932
1982,all,fvcom_bt,-0.08438757597226751,512,2.974918563848416
1982,all,fvcom_bt,0.046003194287721656,513,3.3552061014701433
1983,all,fvcom_bt,0.21900904856886985,511,1.5656152829623813
1983,all,fvcom_bt,0.19109654039804935,512,2.7071431329567583
1983,all,fvcom_bt,-0.06137713465620616,513,3.068757825846902
1984,all,fvcom_bt,0.14521157960535241,511,1.9487067101984232
1984,all,fvcom_bt,0.11995923178902672,512,2.982844744426538
1984,all,fvcom_bt,-0.007584571298858753,513,3.319068545076488
1985,all,fvcom_bt,0.13340962901753017,511,2.1901793561412894
1985,all,fvcom_bt,0.14303321691913917,512,3.67259211490505
1985,all,fvcom_bt,0.003794139421412652,513,3.5135757253766666
1986,all,fvcom_bt,-0.005032391538526866,511,1.9604260924056964
1986,all,fvcom_bt,0.024779765878562142,512,3.7462016371946385
1986,all,fvcom_bt,0.09839138826809243,513,3.2643780794322423
1987,all,fvcom_bt,-0.6890448845044873,511,2.589537892521403
1987,all,fvcom_bt,-0.6326140685317669,512,4.660224401200525
1987,all,fvcom_bt,-0.6979685102029539,513,4.234675309748157
1988,all,fvcom_bt,-0.6425679561982303,511,2.7000954415125387
1988,all,fvcom_bt,-0.48384582209438165,512,4.5673351867464795
1988,all,fvcom_bt,-0.1736734825626805,513,3.8894562909930395
1989,all,fvcom_bt,-0.44890682180915353,511,3.4579931041401912
1989,all,fvcom_bt,-0.3098454440428659,512,5.282209091731491
1989,all,fvcom_bt,0.1000403498049015,513,4.111765290110116
1990,all,fvcom_bt,-0.38011041654004585,511,3.438401100965537
1990,all,fvcom_bt,-0.1942041602059515,512,5.582759448778076
1990,all,fvcom_bt,0.2474090297809118,513,4.588617025237102
1991,all,fvcom_bt,-0.18180792412575583,511,1.9719252677781112
1991,all,fvcom_bt,-0.17710831829254947,512,4.114259475304111
1991,all,fvcom_bt,0.006598740419084929,513,3.5937468492280757
1992,all,fvcom_bt,-0.8271714394401936,511,3.047540892115775
1992,all,fvcom_bt,-0.7276948966862082,512,4.685069474412312
1992,all,fvcom_bt,-0.5773910805408661,513,3.889348772686699
1993,all,fvcom_bt,-0.6942952405308231,511,2.5728457487700287
1993,all,fvcom_bt,-0.8483794513518877,512,4.701840123419108
1993,all,fvcom_bt,-1.1348822455373897,513,4.13644862763621
1994,all,fvcom_bt,0.4461495320552039,511,2.7867059999364736
1994,all,fvcom_bt,0.37367679316711244,512,4.714357799492428
1994,all,fvcom_bt,0.16045937250525585,513,4.156811767086515
1995,all,fvcom_bt,-0.09485643443500559,511,2.4984771585568075
1995,all,fvcom_bt,-0.10672371649288942,512,4.4433034566829805
1995,all,fvcom_bt,-0.24820199282207692,513,4.06596059176315
1996,all,fvcom_bt,-0.24249540854376925,511,3.0168292179110545
1996,all,fvcom_bt,-0.1608533294679226,512,4.657941702767077
1996,all,fvcom_bt,-0.21600043173569405,513,4.120242508012949
1997,all,fvcom_bt,-0.36464922754227885,511,2.0541654641217977
1997,all,fvcom_bt,-0.3127517930362258,512,3.885923593559583
1997,all,fvcom_bt,0.08103976906962818,513,3.347234214294881
1998,all,fvcom_bt,-0.8098066934115251,511,2.860276020516891
1998,all,fvcom_bt,-0.6543194220065379,512,4.949242106310601
1998,all,fvcom_bt,-0.4238647343921768,513,3.8755794541556536
1999,all,fvcom_bt,0.28825904589559626,511,2.2066804050185085
1999,all,fvcom_bt,0.0011058905595407874,512,4.313150389164148
1999,all,fvcom_bt,-0.13143269915440134,513,4.047481672412326
2000,all,fvcom_bt,0.812718582548601,511,2.5657485794033823
2000,all,fvcom_bt,0.8123336460362031,512,4.427739626083285
2000,all,fvcom_bt,0.7121002586320737,513,3.4420851010351896
2001,all,fvcom_bt,-0.4445074309778264,511,2.2074225927714703
2001,all,fvcom_bt,-0.3142358503558696,512,4.683613056372594
2001,all,fvcom_bt,-0.44834366865813247,513,4.1979431993732215
2002,all,fvcom_bt,0.5447968632843281,511,1.7223220924015903
2002,all,fvcom_bt,0.4432899838733765,512,3.449526674127341
2002,all,fvcom_bt,0.6017699256536582,513,3.256058048298815
